created_at,pm25_air,pm10_air,co_air,no2_air
10-12-2020 05:00,67,120.5,3,49.895
10-12-2020 06:00,61.5,110,2.5,49.795
10-12-2020 07:00,64,112.5,2,49.685
10-12-2020 08:00,62,106.5,2,49.015
10-12-2020 09:00,64.5,110,2,47.215
10-12-2020 10:00,62,104.5,2,47.605
10-12-2020 11:00,53,93,2,46.28
10-12-2020 12:00,50.5,88.5,2,44.36
10-12-2020 13:00,44,81.5,2,39.12
10-12-2020 14:00,37.5,74,1,31.43
10-12-2020 15:00,38.5,73.5,1.5,31.74
10-12-2020 16:00,38,75,2,38.22
10-12-2020 17:00,36.5,75.5,2,44.585
10-12-2020 18:00,38,80,2,49.31
10-12-2020 19:00,40.5,82.5,2,50.58
10-12-2020 20:00,47.5,90,2,52.145
10-12-2020 21:00,52.5,95,2,51.36
10-12-2020 22:00,55,97.5,2,51.845
10-12-2020 23:00,53.5,92,2,47.805
11-12-2020 00:00,51.5,88,2,47.315
11-12-2020 01:00,55.5,87.5,2,47.19
11-12-2020 02:00,60.5,91.5,2,47.395
11-12-2020 03:00,68,99,2,47.185
11-12-2020 04:00,74.5,107,2,47.845
11-12-2020 05:00,80,113,2,47.62
11-12-2020 06:00,79.5,111,2,46.82
11-12-2020 07:00,81.5,112,2,46.605
11-12-2020 08:00,81,112,2,46.905
11-12-2020 09:00,71,106,2,46.2
11-12-2020 10:00,70,106,2,45.975
11-12-2020 11:00,40.5,74.5,2,40.36
11-12-2020 12:00,29.5,59.5,2,35.43
11-12-2020 13:00,26.5,54,2,31.36
11-12-2020 14:00,23,49.5,2,29.86
11-12-2020 15:00,20,42.5,1,27.82
11-12-2020 16:00,26.5,58,1.5,36.195
11-12-2020 17:00,30.5,65,2,45.21
11-12-2020 18:00,39,81,2,50.13
11-12-2020 19:00,44.5,86,2,50.495
11-12-2020 20:00,46,89.5,2,52.005
11-12-2020 21:00,52,95.5,2.5,52.235
11-12-2020 22:00,61,101,2,50.395
11-12-2020 23:00,72,108,2,49.15
12-12-2020 00:00,83,119,2,50.855
12-12-2020 01:00,86.5,117.5,2,49.345
12-12-2020 02:00,89,118,2,48.295
12-12-2020 03:00,85.5,114.5,2,46.715
12-12-2020 04:00,85.5,114,2,46.83
12-12-2020 05:00,89,118.5,2,47.115
12-12-2020 06:00,90.5,118.5,2,45.57
12-12-2020 07:00,91,121,2,44.76
12-12-2020 08:00,91,119.5,2,44.5
12-12-2020 09:00,88,115.5,2,43.21
12-12-2020 10:00,91,120.5,2,47.285
12-12-2020 11:00,81.5,115,2,46.56
12-12-2020 12:00,60.5,93.5,2,41.7
12-12-2020 13:00,52.5,84.5,2,38.51
12-12-2020 14:00,49,82.5,2,31.385
12-12-2020 15:00,49.5,83.5,2,34.01
12-12-2020 16:00,53.5,86,2,42.065
12-12-2020 17:00,55,88,2,47.16
12-12-2020 18:00,61,94,2,50.555
12-12-2020 19:00,68.5,101.5,2,50.705
12-12-2020 20:00,73,107,2,51.91
12-12-2020 21:00,86.5,121,2,51.06
12-12-2020 22:00,96.5,131,2,49.68
12-12-2020 23:00,103,136.5,2,48.515
13-12-2020 00:00,104,139,2,48.145
13-12-2020 01:00,104.5,139.5,2,47.085
13-12-2020 02:00,108,144.5,2,44.255
13-12-2020 03:00,111.5,154,2,43.365
13-12-2020 04:00,116.5,168,2,43.345
13-12-2020 05:00,117.5,174.5,2,45.12
13-12-2020 06:00,129,197,2,44.38
13-12-2020 07:00,135,209.5,2,45.765
13-12-2020 08:00,121,179.5,2,45.15
13-12-2020 09:00,119.5,173.5,2,43.97
13-12-2020 10:00,99,133,2,43.08
13-12-2020 11:00,79.5,111.5,2,43.395
13-12-2020 12:00,64,97,2,40.575
13-12-2020 13:00,65.5,97.5,2,39.105
13-12-2020 14:00,61,92.5,2,33.82
13-12-2020 15:00,58,89.5,2,36.14
13-12-2020 16:00,57.5,89.5,2,41.725
13-12-2020 17:00,55,88,2,46.735
13-12-2020 18:00,56,90,2,49.535
13-12-2020 19:00,63.5,104,2,50.81
13-12-2020 20:00,70,112,2,52.1
13-12-2020 21:00,78,117,2.5,50.185
13-12-2020 22:00,80.5,119,2,50.36
13-12-2020 23:00,89,127.5,2,49.755
14-12-2020 00:00,88.5,126.5,2,49.23
14-12-2020 01:00,82,117.5,2,47.59
14-12-2020 02:00,79.5,115.5,2,46.965
14-12-2020 03:00,81.5,117.5,2,46.8
14-12-2020 04:00,83.5,119.5,2.5,46.175
14-12-2020 05:00,86.5,123,2,43.845
14-12-2020 06:00,89,126,2,44.19
14-12-2020 07:00,91.5,130,2,41.055
14-12-2020 08:00,88.5,128,2,43.34
14-12-2020 09:00,92,133.5,2,44.085
14-12-2020 10:00,86,123,2,46.05
14-12-2020 11:00,67.5,103,2,44.19
