,Unnamed: 0,created_at,air_pm25,air_pm10,cpcb_pm25,cpcb_pm10,lc2_pm10,lc2_pm25,lc3_pm10,lc3_pm25
104,110,2020-11-07 05:00:00,104.0,137.0,79.0,144.0,82.8,76.1,325.5,293.8
105,111,2020-11-07 06:00:00,100.0,134.0,85.0,140.0,73.2,66.9,303.9,273.4
106,112,2020-11-07 07:00:00,91.0,126.0,78.0,142.0,65.4,59.5,315.0,283.2
107,113,2020-11-07 08:00:00,84.0,122.0,79.0,145.0,58.1,52.6,194.5,174.0
108,114,2020-11-07 09:00:00,77.0,116.0,80.0,161.0,56.9,51.5,189.1,168.5
109,115,2020-11-07 10:00:00,77.0,120.0,75.0,165.0,53.4,48.4,177.2,148.7
110,116,2020-11-07 12:00:00,78.0,109.0,74.0,155.0,54.9,50.4,161.0,144.2
111,117,2020-11-07 13:00:00,77.0,107.0,67.0,138.0,54.4,49.9,188.4,169.3
112,118,2020-11-07 15:00:00,77.0,103.0,65.0,123.0,52.5,48.3,202.1,183.4
113,119,2020-11-07 17:00:00,91.0,122.0,75.0,146.0,66.3,60.9,233.2,209.9
114,120,2020-11-07 18:00:00,97.0,131.5,79.0,163.0,71.4,65.3,220.9,191.6
115,121,2020-11-07 20:00:00,95.0,134.0,85.0,183.0,74.2,67.3,198.0,141.8
116,122,2020-11-07 21:00:00,81.0,120.0,86.0,167.0,57.2,52.0,153.8,104.0
117,123,2020-11-08 00:00:00,68.0,110.0,82.0,166.0,49.2,44.3,131.2,89.5
118,124,2020-11-08 01:00:00,62.0,107.0,67.0,138.0,42.3,38.0,179.2,89.3
119,125,2020-11-08 02:00:00,66.0,109.0,61.0,128.0,44.4,40.2,147.0,83.9
120,126,2020-11-08 03:00:00,66.0,105.0,66.0,126.0,46.9,42.2,162.2,92.3
121,127,2020-11-08 04:00:00,67.0,110.0,68.0,123.0,46.4,41.7,154.9,95.1
122,128,2020-11-08 05:00:00,67.0,105.0,61.0,126.0,47.6,43.0,156.2,92.3
