created_at,PM2.5,PM10,NO2,CO,Ozone,Temp,RH,WS
09-10-2020 05:00,56,89.75,23.68,0.49,8.6,30.12,86,0.3
09-10-2020 06:00,49.25,77.75,22.12,0.47,4.2,30.17,87,0.3
09-10-2020 07:00,46.5,70,23.12,0.48,2.88,30.15,87,0.3
09-10-2020 08:00,47.25,72.25,26.85,0.55,13.3,30.12,84.5,0.3
09-10-2020 09:00,53,84.25,23.8,0.39,26.27,30.12,76.25,0.38
09-10-2020 10:00,49,76.25,23.17,0.38,37.85,30.15,69.5,0.57
09-10-2020 11:00,45.5,86.25,23.42,0.41,51.28,30.57,64,0.52
09-10-2020 12:00,46.25,89,23.35,0.47,62,30.78,64.75,0.3
09-10-2020 13:00,54.25,100.25,23.02,0.51,73.08,30.7,62.25,1.25
09-10-2020 14:00,60.75,118.75,24,0.42,81.45,29.95,60,1.18
09-10-2020 15:00,62.5,119.75,22.85,0.33,67.47,30.08,59.25,1.68
09-10-2020 16:00,45.75,97.75,22.08,0.3,62.9,30.12,61,1.6
09-10-2020 17:00,51.5,94.5,26.62,0.35,53.22,29.95,61.75,1.17
09-10-2020 18:00,42.25,86.75,25.62,0.38,37.3,30.05,65.5,1.08
09-10-2020 19:00,34.25,74.5,20.4,0.34,40.15,30.02,81.75,1.07
09-10-2020 20:00,27,42.25,29.45,0.47,21.8,30.17,84.25,0.32
09-10-2020 21:00,29,47,33.88,0.55,10.4,30.12,84.5,0.3
09-10-2020 22:00,27,41.5,38.5,0.77,3.33,30.12,85.5,0.3
09-10-2020 23:00,28.75,43.5,43.25,1.04,2.17,30.17,85.5,0.3
10-10-2020 00:00,27,45.5,43.38,1.33,1.5,30.15,85.75,0.3
10-10-2020 01:00,32.5,49,35.2,1.19,1.05,30.2,86,0.3
10-10-2020 02:00,30,50.75,29.6,1,1.2,30.02,86.25,0.3
10-10-2020 03:00,25.5,39.25,26.77,0.79,0.6,30.02,87,0.3
10-10-2020 04:00,21.5,44.75,27.02,0.58,2.2,30.45,87,0.3
10-10-2020 05:00,22.25,49.5,26,0.65,0.9,30.12,87,0.3
10-10-2020 06:00,21.75,50.25,25.4,0.6,0.8,29.98,87,0.3
10-10-2020 07:00,26,53.5,24.1,0.6,0.6,29.92,87,0.3
10-10-2020 08:00,23.5,47,25.25,0.65,1.7,29.92,86.75,0.3
10-10-2020 09:00,30,66.75,33.33,0.57,8.07,29.95,83,0.3
10-10-2020 10:00,44.25,83.5,31.5,0.54,26.1,29.9,73.25,0.42
10-10-2020 11:00,37.75,60,22.8,0.29,36.75,30.18,68.5,0.55
10-10-2020 12:00,26,46.5,18.35,0.2,42,30.15,64.5,0.4
10-10-2020 13:00,28.25,42.75,17.25,0.21,44.73,30.2,63.75,0.38
10-10-2020 14:00,26.25,45.5,19.1,0.19,47.9,29.65,62.25,0.38
10-10-2020 15:00,25.75,47,18.6,0.23,45.98,29.75,64.25,0.3
10-10-2020 16:00,25.5,50.25,22.27,0.26,47.42,29.67,64,0.3
10-10-2020 17:00,37.75,68.5,28,0.42,46.92,29.82,67.5,0.3
10-10-2020 18:00,43,95.5,30.75,0.57,53.4,29.9,69.25,0.3
10-10-2020 19:00,44.25,99.5,33.65,0.73,26.73,29.9,78.25,0.6
10-10-2020 20:00,46,93.5,35.53,0.71,17.35,29.9,75.5,0.3
10-10-2020 21:00,42,85.75,42.38,0.93,8.62,29.9,78.25,0.32
10-10-2020 22:00,45.5,98.5,38.08,0.91,16.45,29.95,80.5,0.3
10-10-2020 23:00,40.75,86.25,39.15,0.91,10.42,29.9,83,0.3
11-10-2020 00:00,48.75,91,42.98,0.94,10.25,29.92,83.5,0.3
11-10-2020 01:00,47.5,90.5,38.8,0.76,13.38,29.92,83,0.3
11-10-2020 02:00,43,75.5,30.48,0.48,14.78,29.85,82.25,0.3
11-10-2020 03:00,34.5,61,27.85,0.38,11.2,29.93,84,0.3
11-10-2020 04:00,34.25,59,24.62,0.35,8.18,30.38,84.75,0.3
11-10-2020 05:00,31.5,69,27.97,0.52,4.55,29.98,85.25,0.3
11-10-2020 06:00,38.5,83.25,26.95,0.49,4.65,29.9,85.25,0.3
11-10-2020 07:00,36,63.5,27.9,0.45,4.25,29.95,86,0.3
11-10-2020 08:00,32,61.75,23.17,0.43,6.55,29.95,86,0.3
11-10-2020 09:00,27.75,52,22.85,0.37,9.8,29.88,86,0.43
11-10-2020 10:00,23,46.5,20.95,0.3,12.45,30,86.25,0.4
11-10-2020 11:00,21.5,32.25,20.8,0.31,13.45,30.4,86.75,0.6
11-10-2020 12:00,21.75,34.5,20.95,0.25,27.55,30.48,87,1.1
11-10-2020 13:00,9,21.25,16.85,0.12,29.65,30.35,87,0.55
11-10-2020 14:00,9.75,22,21.6,0.21,28.95,29.92,86.5,0.57
11-10-2020 15:00,13.5,22.75,20.77,0.18,27.8,29.92,86,0.4
11-10-2020 16:00,16.75,23,18.6,0.12,28,29.9,82.75,0.47
11-10-2020 17:00,11.25,16.5,17.88,0.1,27.7,29.83,79.75,0.32
11-10-2020 18:00,6,14.75,17.57,0.1,22.45,29.85,81.75,0.3
11-10-2020 19:00,6,14.75,19.35,0.15,16.27,29.93,84.5,0.3
11-10-2020 20:00,8.25,20.5,20,0.24,11.62,29.9,85.25,0.3
11-10-2020 21:00,14.75,32.75,26.2,0.49,12.12,29.95,86,0.43
11-10-2020 22:00,15.5,34.25,24.3,0.45,16.43,29.9,86,1.02
11-10-2020 23:00,19,22.5,22.8,0.4,18.27,30,86.5,0.48
12-10-2020 00:00,18,26.25,24.65,0.35,14.95,30.02,87,0.32
12-10-2020 01:00,26.75,51.25,30,0.34,9,29.95,87,0.3
12-10-2020 02:00,33.25,78,26.83,0.3,13.48,29.95,87,0.8
12-10-2020 03:00,25,63.75,19.48,0.25,19.5,30.02,87,1.08
12-10-2020 04:00,18.75,29.5,17.93,0.18,21.95,30.32,87,0.62
12-10-2020 05:00,27.5,30.75,21.02,0.2,15.87,29.95,87,0.38
12-10-2020 06:00,33.5,48.75,28.7,0.28,8.5,29.85,87,0.45
12-10-2020 07:00,46,78.25,30.38,0.35,6.82,29.9,87,0.4
12-10-2020 08:00,43.75,80.75,30.3,0.37,14.15,29.88,84.75,0.62
12-10-2020 09:00,50.75,87.5,29.8,0.45,19.65,29.85,82.25,0.88
