,created_at,air_pm25,air_pm10,cpcb_pm25,cpcb_pm10
189,2020-11-03 18:30:00,88.0,129.0,85.0,188.0
190,2020-11-03 18:45:00,89.0,128.0,75.0,174.0
191,2020-11-03 19:00:00,89.0,127.0,75.0,174.0
192,2020-11-03 19:15:00,90.0,135.0,75.0,174.0
193,2020-11-03 19:30:00,88.0,129.0,75.0,174.0
194,2020-11-03 20:00:00,88.0,133.0,87.0,179.0
195,2020-11-03 20:15:00,89.0,129.0,87.0,179.0
196,2020-11-03 21:00:00,89.0,135.0,76.0,183.0
197,2020-11-03 21:30:00,85.0,124.0,76.0,183.0
198,2020-11-03 21:45:00,84.0,126.0,87.0,175.0
199,2020-11-03 22:45:00,82.0,125.0,78.0,173.0
200,2020-11-03 23:00:00,82.0,125.0,78.0,173.0
201,2020-11-03 23:15:00,82.0,126.0,78.0,173.0
202,2020-11-03 23:30:00,89.0,132.0,78.0,173.0
203,2020-11-04 00:00:00,89.0,130.0,86.0,170.0
204,2020-11-04 00:15:00,90.0,133.0,86.0,170.0
205,2020-11-04 00:30:00,89.0,128.0,86.0,170.0
206,2020-11-04 00:45:00,88.0,132.0,85.0,168.0
207,2020-11-04 01:00:00,89.0,135.0,85.0,168.0
208,2020-11-04 01:15:00,89.0,136.0,85.0,168.0
209,2020-11-04 01:30:00,90.0,136.0,85.0,168.0
210,2020-11-04 02:00:00,92.0,133.0,84.0,176.0
211,2020-11-04 02:15:00,94.0,133.0,84.0,176.0
212,2020-11-04 02:30:00,94.0,138.0,84.0,176.0
213,2020-11-04 03:00:00,92.0,132.0,74.0,158.0
214,2020-11-04 03:15:00,92.0,133.0,74.0,158.0
215,2020-11-04 03:30:00,92.0,132.0,74.0,158.0
216,2020-11-04 03:45:00,95.0,135.0,83.0,153.0
217,2020-11-04 04:00:00,100.0,149.0,83.0,153.0
218,2020-11-04 04:15:00,96.0,139.0,83.0,153.0
219,2020-11-04 04:30:00,100.0,145.0,83.0,153.0
220,2020-11-04 04:45:00,129.0,226.0,84.0,182.0
221,2020-11-04 05:00:00,119.0,188.0,84.0,182.0
222,2020-11-04 05:15:00,121.0,194.0,84.0,182.0
223,2020-11-04 05:30:00,114.0,180.0,84.0,182.0
224,2020-11-04 06:00:00,126.0,206.0,83.0,178.0
225,2020-11-04 06:15:00,125.0,199.0,83.0,178.0
226,2020-11-04 07:00:00,117.0,197.0,73.0,187.0
227,2020-11-04 07:15:00,124.0,205.0,73.0,187.0
228,2020-11-04 07:30:00,125.0,208.0,73.0,187.0
229,2020-11-04 07:45:00,119.0,194.0,78.0,181.0
230,2020-11-04 08:15:00,110.0,179.0,78.0,181.0
231,2020-11-04 09:15:00,98.0,154.0,84.0,180.0
232,2020-11-04 09:30:00,101.0,164.0,84.0,180.0
233,2020-11-04 09:45:00,64.0,109.0,87.0,174.0
234,2020-11-04 10:00:00,61.0,102.0,87.0,174.0
235,2020-11-04 10:15:00,59.0,102.0,87.0,174.0
236,2020-11-04 10:30:00,58.0,103.0,87.0,174.0
237,2020-11-04 10:45:00,57.0,98.0,56.0,162.0
238,2020-11-04 11:00:00,56.0,99.0,56.0,162.0
239,2020-11-04 11:15:00,53.0,96.0,56.0,162.0
240,2020-11-04 11:30:00,53.0,94.0,56.0,162.0
241,2020-11-04 11:45:00,53.0,92.0,51.0,136.0
242,2020-11-04 12:00:00,51.0,91.0,51.0,136.0
243,2020-11-04 12:30:00,53.0,90.0,51.0,136.0
244,2020-11-04 13:15:00,53.0,86.0,37.0,118.0
245,2020-11-04 13:30:00,51.0,87.0,37.0,118.0
246,2020-11-04 13:45:00,52.0,87.0,42.0,106.0
247,2020-11-04 14:15:00,55.5,92.5,42.0,106.0
248,2020-11-04 14:45:00,57.0,101.0,49.0,120.0
249,2020-11-04 15:15:00,57.0,99.0,49.0,120.0
250,2020-11-04 15:30:00,58.0,97.0,49.0,120.0
251,2020-11-04 15:45:00,57.0,94.0,48.0,125.0
252,2020-11-04 16:00:00,56.0,96.0,48.0,125.0
253,2020-11-04 17:45:00,58.0,99.0,64.0,174.0
254,2020-11-04 18:00:00,57.0,99.0,64.0,174.0
255,2020-11-04 18:15:00,59.0,106.0,64.0,174.0
256,2020-11-04 18:45:00,62.0,111.0,72.0,166.0
257,2020-11-04 19:00:00,61.0,104.0,72.0,166.0
258,2020-11-04 19:15:00,60.0,110.0,72.0,166.0
259,2020-11-04 20:00:00,62.0,114.0,76.0,175.0
260,2020-11-04 20:15:00,63.0,113.0,76.0,175.0
261,2020-11-04 20:30:00,62.0,111.0,76.0,175.0
262,2020-11-04 20:45:00,59.0,105.0,70.0,163.0
263,2020-11-04 21:00:00,62.0,108.0,70.0,163.0
264,2020-11-04 21:45:00,71.0,122.0,75.0,161.0
265,2020-11-04 22:00:00,73.0,123.0,75.0,161.0
266,2020-11-04 22:15:00,74.0,123.0,75.0,161.0
267,2020-11-04 23:00:00,75.0,124.0,87.0,185.0
