,created_at,pm25,pm10,rh,temp
175,2020-11-02 20:30:00,61.8,68.2,50.61,30.95
176,2020-11-02 20:45:00,63.2,69.5,50.47,30.96
177,2020-11-02 21:00:00,63.2,70.0,50.38,30.78
178,2020-11-02 21:15:00,59.3,65.3,50.52,30.79
179,2020-11-02 21:30:00,58.0,63.9,51.36,30.83
180,2020-11-02 21:45:00,53.1,58.3,51.27,30.6
181,2020-11-02 22:00:00,52.9,58.3,51.06,30.53
182,2020-11-02 22:15:00,52.5,58.0,51.54,30.41
183,2020-11-02 22:30:00,49.3,54.4,52.04,30.18
184,2020-11-02 22:45:00,49.6,54.6,52.62,30.0
185,2020-11-02 23:00:00,49.5,54.4,52.98,29.95
186,2020-11-02 23:15:00,49.4,54.4,53.27,30.09
187,2020-11-02 23:30:00,54.6,60.2,53.56,29.94
188,2020-11-02 23:45:00,54.9,60.6,54.21,29.89
189,2020-11-03 00:00:00,54.3,60.0,55.33,29.76
190,2020-11-03 00:15:00,56.8,62.3,55.42,29.7
191,2020-11-03 00:30:00,55.1,60.7,55.71,29.49
192,2020-11-03 00:45:00,57.3,63.1,55.97,29.32
193,2020-11-03 01:00:00,57.8,63.7,56.3,29.3
194,2020-11-03 01:15:00,59.6,65.6,56.86,29.3
195,2020-11-03 01:30:00,56.3,62.1,56.07,29.16
196,2020-11-03 02:00:00,58.4,64.3,57.53,28.71
197,2020-11-03 02:15:00,56.2,61.9,57.53,28.89
198,2020-11-03 02:30:00,54.3,59.8,57.41,28.93
199,2020-11-03 02:45:00,61.7,67.8,56.36,28.72
200,2020-11-03 03:00:00,67.0,73.5,57.26,28.5
201,2020-11-03 03:15:00,62.7,68.8,57.61,28.59
202,2020-11-03 03:30:00,68.0,74.6,56.94,28.49
203,2020-11-03 03:45:00,73.3,80.5,57.41,28.43
204,2020-11-03 04:00:00,70.6,77.4,57.38,28.23
205,2020-11-03 04:15:00,75.4,82.6,57.64,28.05
206,2020-11-03 04:30:00,76.5,83.7,57.55,27.89
207,2020-11-03 04:45:00,74.2,81.6,55.74,28.05
208,2020-11-03 05:00:00,68.3,75.1,54.49,28.02
209,2020-11-03 05:15:00,67.2,73.5,54.96,27.89
210,2020-11-03 05:30:00,73.7,80.7,55.83,27.89
211,2020-11-03 05:45:00,73.7,81.2,55.1,27.75
212,2020-11-03 06:00:00,73.1,80.2,54.46,27.81
213,2020-11-03 06:15:00,90.9,99.6,56.91,27.73
214,2020-11-03 06:30:00,102.4,112.8,59.54,27.37
